market_reference,alpha,n,logloss,brier,auc,accuracy,mean_prob,target_rate
mid,0.25,408,0.5616852332731374,0.19114900888734362,0.7787638287638288,0.6936274509803921,0.5181475615069769,0.5147058823529411
mid,0.26,408,0.5613580147139808,0.19101677637510975,0.778908128908129,0.696078431372549,0.5181560704100414,0.5147058823529411
mid,0.27,408,0.5610487401836193,0.19089185484527293,0.7794612794612795,0.696078431372549,0.5181645793131059,0.5147058823529411
mid,0.28,408,0.5607572716333294,0.19077424429783324,0.7796296296296297,0.6911764705882353,0.5181730882161704,0.5147058823529411
mid,0.29,408,0.5604834884353305,0.1906639447327906,0.7797739297739298,0.6887254901960784,0.5181815971192348,0.5147058823529411
mid,0.3,408,0.5602272863820905,0.19056095615014504,0.7803751803751804,0.6887254901960784,0.5181901060222993,0.5147058823529411
mid,0.31,408,0.5599885768121788,0.19046527854989656,0.7806156806156807,0.6887254901960784,0.5181986149253638,0.5147058823529411
mid,0.32,408,0.5597672858478392,0.19037691193204512,0.7811928811928812,0.6887254901960784,0.5182071238284283,0.5147058823529411
mid,0.33,408,0.5595633537317647,0.19029585629659082,0.7814814814814814,0.6813725490196079,0.5182156327314927,0.5147058823529411
mid,0.34,408,0.5593767342524943,0.19022211164353356,0.7815536315536316,0.6838235294117647,0.5182241416345573,0.5147058823529411
mid,0.35,408,0.5592073942494697,0.1901556779728734,0.7815536315536316,0.6838235294117647,0.5182326505376218,0.5147058823529411
mid,0.36,408,0.5590553131901724,0.19009655528461028,0.7818422318422319,0.6838235294117647,0.5182411594406863,0.5147058823529411
mid,0.37,408,0.5589204828129292,0.1900447435787443,0.7817219817219817,0.6887254901960784,0.5182496683437507,0.5147058823529411
mid,0.38,408,0.5588029068299823,0.19000024285527536,0.7816979316979318,0.6862745098039216,0.5182581772468152,0.5147058823529411
mid,0.39,408,0.5587026006862841,0.1899630531142035,0.7820346320346321,0.6862745098039216,0.5182666861498797,0.5147058823529411
mid,0.4,408,0.5586195913702344,0.18993317435552876,0.7819384319384319,0.6838235294117647,0.5182751950529443,0.5147058823529411
mid,0.41,408,0.5585539172732443,0.18991060657925105,0.7819143819143819,0.6838235294117647,0.5182837039560088,0.5147058823529411
mid,0.42,408,0.5585056280955958,0.18989534978537045,0.782082732082732,0.6838235294117647,0.5182922128590732,0.5147058823529411
mid,0.43,408,0.5584747847965966,0.1898874039738869,0.781914381914382,0.6838235294117647,0.5183007217621377,0.5147058823529411
mid,0.44,408,0.5584614595875139,0.18988676914480046,0.7813131313131313,0.6838235294117647,0.5183092306652022,0.5147058823529411
mid,0.45,408,0.5584657359662046,0.18989344529811106,0.7816017316017316,0.6838235294117647,0.5183177395682667,0.5147058823529411
mid,0.46,408,0.5584877087927821,0.1899074324338188,0.7817700817700818,0.6838235294117647,0.5183262484713312,0.5147058823529411
mid,0.47,408,0.5585274844060432,0.18992873055192358,0.7816257816257817,0.6911764705882353,0.5183347573743957,0.5147058823529411
